,Code,Year,Deaths,Fertility,GDP ,GenderInequality,LifeExpectancy,tertiary_education,Income
15861,PRT,2003,0.020728422531912403,0.11208388979571654,1.0,0.5978835978835978,0.8786623261319915,0.7950413223140496,high_income
15862,PRT,2004,0.017332240309169692,0.09675025968244547,1.0,0.582010582010582,0.9023379698135544,0.7267217630853995,high_income
15863,PRT,2005,0.014521606745520553,0.10036108225750609,1.0,0.5185185185185185,0.8993785143533588,0.6584022038567493,high_income
15864,PRT,2006,0.012296521840964985,0.07983380323490132,1.0,0.47619047619047616,0.9230541580349213,0.6705234159779614,high_income
15865,PRT,2007,0.010539875863684272,0.06954543206212596,1.0,0.3756613756613757,0.9289730689553121,0.6826446280991736,high_income
15866,PRT,2008,0.009134559081859702,0.08700598506207655,1.0,0.35449735449735453,0.937851435335898,0.6947658402203856,high_income
15867,PRT,2009,0.007846352031853847,0.06820992234258304,1.0,0.34391534391534395,0.9437703462562886,0.7068870523415977,high_income
15868,PRT,2010,0.006675254713666706,0.08641242518672408,1.0,0.31746031746031744,0.9496892571766794,0.7190082644628099,high_income
15869,PRT,2011,0.005621267127298279,0.0657367561952812,1.0,0.28042328042328035,0.9644865344776561,0.7190082644628099,high_income
15870,PRT,2012,0.004742944138657923,0.03358559628035815,1.0,0.23809523809523808,0.9644865344776561,0.7190082644628099,high_income
15871,PRT,2013,0.004040285747745637,0.0,1.0,0.164021164021164,0.9733649008582419,0.7190082644628099,high_income
15872,PRT,2014,0.003454737088652067,0.010090517880991341,1.0,0.12698412698412695,0.9852027226990234,0.7190082644628099,high_income
15873,PRT,2015,0.0030448530272865677,0.04575357372508286,1.0,0.06878306878306877,0.9852027226990234,0.7190082644628099,high_income
15874,PRT,2016,0.002634968965921068,0.07211752485531986,1.0,0.05820105820105818,0.9852027226990234,0.7190082644628099,high_income
15875,PRT,2017,0.0021079751727368545,0.08275213928871741,1.0,0.052910052910052886,0.9940810890796092,0.7190082644628099,high_income
15876,PRT,2018,0.0015224265136432838,0.0995696690903695,1.0,0.03703703703703699,0.9911216336194141,0.7190082644628099,high_income
15877,PRT,2019,0.000819768122730999,0.10224068852945546,1.0,0.02116402116402111,1.0,0.7190082644628099,high_income
15878,PRT,2020,0.0,0.08923183459464812,1.0,0.010582010582010592,0.9822432672388278,0.7190082644628099,high_income
15879,PRT,2021,0.0,0.07548103081565023,1.0,0.0,0.9792838117786327,0.7190082644628099,high_income
19772,USA,1827,1.0,0.7202141900937082,4.690679754937388e-06,0.9586776859504131,0.0,0.0,high_income
19773,USA,1828,1.0,0.7202141900937082,0.0,0.9586776859504131,0.0,0.0,high_income
19774,USA,1829,1.0,0.7202141900937082,1.2183852475731729e-05,0.9586776859504131,0.0,0.0,high_income
19775,USA,1830,1.0,0.7202141900937082,4.273491009030833e-05,0.9586776859504131,0.0,0.0,high_income
19776,USA,1831,1.0,0.7202141900937082,4.520003818446294e-05,0.9586776859504131,0.0,0.0,high_income
19777,USA,1832,1.0,0.7202141900937082,6.596118394981602e-05,0.9586776859504131,0.0,0.0,high_income
19778,USA,1833,1.0,0.7202141900937082,7.848349132914574e-05,0.9586776859504131,0.0,0.0,high_income
19779,USA,1834,1.0,0.7202141900937082,0.00010587867602215779,0.9586776859504131,0.0,0.0,high_income
19780,USA,1835,1.0,0.7202141900937082,0.00012355446554473387,0.9586776859504131,0.0,0.0,high_income
19781,USA,1836,1.0,0.7202141900937082,0.000163818063706095,0.9586776859504131,0.0,0.0,high_income
19782,USA,1837,1.0,0.7202141900937082,0.00016080341280147207,0.9586776859504131,0.0,0.0,high_income
19783,USA,1838,1.0,0.7202141900937082,0.00019011273542754166,0.9586776859504131,0.0,0.0,high_income
19784,USA,1839,1.0,0.7202141900937082,0.0001980861510469753,0.9586776859504131,0.0,0.0,high_income
19785,USA,1840,1.0,0.7202141900937082,0.0001739841623322273,0.9586776859504131,0.0,0.0,high_income
19786,USA,1841,1.0,0.7202141900937082,0.00019528803917085276,0.9586776859504131,0.0,0.0,high_income
19787,USA,1842,1.0,0.7202141900937082,0.0002035316150031918,0.9586776859504131,0.0,0.0,high_income
19788,USA,1843,1.0,0.7202141900937082,0.00019069518977854957,0.9586776859504131,0.0,0.0,high_income
19789,USA,1844,1.0,0.7202141900937082,0.00022045670794409742,0.9586776859504131,0.0,0.0,high_income
