,Gender Equality,% Undernourishment,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,%EmploymentAgriFishForest,TotalAgri,Gender Inequality,% Soldiers,Marriage Rate,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Literacy Rate,Infant Mortality,% Population Growth,% Rural Population,Suicide Rate,Gini,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,Women Schooling Years,Men Schooling Years,% Education Expenditure,% Men Employment,% Women Employment,Population
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,,,,,,,,,-0.6935137219481061,,-0.95025095626545,-0.8807154380180436,,0.9093901505656186,,,-0.8155522316055752,-0.00498045227285902,-0.3659369194444416,,,0.6903439793155534,0.6998689518851093,,0.8267814482403957,,,,,,0.9403670064842944
Azerbaijan,,,,,,0.24679144035352338,0.9895947057184644,,-0.1832206793458383,,-0.1449939630052906,-0.45035898480152814,-0.5710169100417143,0.8697120237755899,,,-0.8509080280647006,0.27050584563900226,-0.6845490170519353,,,-0.4623526691286956,-0.8084388027468092,,0.8541914745765042,,,-0.7248079755113059,,,0.8142022161531837
Solomon Islands,,,,,,,,,,,-0.8371720489106013,-0.8980851730794104,,0.9371659854634445,,,-0.9608194046731899,-0.3160883859322247,-0.9781940764818555,,,0.09268221067490502,0.9158493171554003,,0.7608328487526407,,,,,,0.9680278009761121
Fiji,,,,,,,0.8947159401711322,,-0.5868911904224655,,-0.8554087181771669,0.9402387875982607,,0.9342452307549833,,,0.16774191472924743,-0.38962274902624017,-0.9362533427516747,,,-0.43063788355731375,-0.5832383510592947,,-0.8193731886936797,,,,,,0.8919102374748262
Kiribati,,,,,,,,,,,-0.8029055220574409,-0.8934759382943139,,0.9487796752526961,,,-0.8623327130030526,-0.13439029822546536,-0.9289628199891381,,,,,,,,,,,,0.9663568868828272
Armenia,,,,,,,0.9619302524609501,,0.20159862291092578,,-0.28149206506165797,0.971010905723261,-0.5601265794559513,0.8770787853020021,,,-0.9051187706044855,0.7253047280131804,0.8307547379833802,,,0.8305587076678165,-0.14417177593971992,,-0.5938985382596783,,,,,,-0.7381473401784107
Oman,,,,,,,,,-0.934107774374779,,-0.7639173126169236,-0.8341805674997459,,0.9035276763735491,,,-0.7596891440126757,0.6417017929500903,-0.8736424177181752,,,0.8207548034017716,0.8596185136981146,,0.9614504015155303,,,,,,0.8876767218990674
Argentina,,,,0.22331224186349527,,-0.49605947814293777,0.9339674117642055,,-0.27687349644031956,,-0.6619429689894677,-0.6977464083586097,,0.7282170482743143,,,-0.6908682811984963,-0.32525254867792275,-0.7182896520779176,,-0.7856993850880157,0.3925420233165521,-0.6556551949759978,,-0.18068495971160953,,,-0.666763005659782,,,0.7379316218184823
Colombia,,,,,,0.5903049865869249,0.7301908595335114,,0.7792007747527261,,-0.8969852495342657,-0.006698925378892214,-0.8960915024058826,0.8809434975937713,,,-0.8797646060475228,-0.8262387221863599,-0.8941612740378728,,-0.48279709494914175,0.8708192553449093,0.7096175351044401,,0.7435619614678053,,,0.7939008106832125,,,0.8808253184627445
"China, Hong Kong SAR",,,,,,,0.7694505868686511,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,,,,,,,,,0.4151709896453931,,-0.9525688705677672,-0.9179772709821089,,0.9348854698305799,,,-0.9177723929536782,-0.7271886920093575,-0.9190301718767485,,,0.9417653636194377,0.9542050288793148,,0.8785817225234137,,,,,,0.8794628783666623
Guatemala,,,,,,,,,-0.833159449833532,,-0.958837785097456,-0.8555839601667523,-0.18925951577683003,0.9300658157401598,,,-0.9220544561979582,-0.9581703799777463,-0.9661481483521573,,,0.7122515687158718,0.5786797836571252,,-0.7273524106021909,,,,,,0.9811733833518437
Spain,,,,,0.13849480210193424,-0.8858234693513122,0.9299735944156273,,-0.8697061005969077,-0.8793718183296212,-0.014990774600843361,-0.3371880757683001,-0.7295378070549625,0.8802061424907012,,,-0.8390956178674034,0.13150745690511922,-0.8397051581127372,,,0.02227465271011972,-0.44121720660584945,,-0.7586372066327308,,,-0.07552672977970502,-0.1197815698977536,0.9354816143792688,0.9603797610659814
Türkiye,,,,-0.4010502398528947,,,0.9439164820040548,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,,,,,,-0.9475105919376615,-0.009711286069877832,,0.8373664059783179,,-0.9630407735033697,0.8721864657154541,0.02932240083882118,0.9573425404808525,,,-0.7816647120117164,-0.9168860633903009,0.9631819131125502,,,-0.2921560852283226,0.7414489435115034,,-0.9393028515859887,,,0.3789457397694142,,,0.8859026035456624
Puerto Rico,,,,,,,0.7484057186157136,,,,-0.9411314091309085,0.5350393525734602,0.1131754110156427,0.9756459472772403,,,,-0.6700810833523018,-0.17215941330267528,,,,,,-0.968087542647315,,,,,,-0.36934751842577074
Liechtenstein,,,,,,,,,,-0.6033494627745212,-0.8902358418687901,0.09133517510651673,0.47740681785019057,0.8980957067721974,,,,-0.8694291318743149,0.8715338306696059,,,,,,,,,,,,0.9545377655988969
Ireland,,,,,0.37977790808597894,-0.857271467994139,0.8294191565598148,,-0.864333985961312,-0.05690115100526382,-0.24368142484137909,-0.8922204161482195,0.129260557268988,0.9619914489527417,,,-0.9502333780391163,0.303111355595758,-0.9635172793953766,,,0.6462792483566664,0.6136298124793571,,-0.8076550020936963,,,0.48558814392438004,-0.007106474770571903,0.8153982444741334,0.9617263862856793
Italy,,,,,0.4005488780686522,-0.8250410739564437,0.4779287740979002,,-0.7830089468395504,-0.828254367067626,-0.3785229299799234,0.48296990822824304,-0.672321465137552,0.8470297783323263,,,-0.7998679541471184,0.26078963058326304,-0.6874717687405922,,,0.3297502180315771,-0.14996823353010288,,-0.8360374667955511,,,-0.3950249712349716,-0.5952677860732225,0.9132199715372404,0.8308935569672716
Senegal,,,,-0.8429700836789796,,,0.8500003300967304,,-0.7156405954000818,,-0.8645103890205498,-0.9781755110641696,,0.9818392776738305,,,-0.9760354613989858,0.3976632804943017,-0.966614783425399,,,0.791093237715697,0.7754762154397876,,0.9447988303650455,,,,,,0.9479437827512616
Bosnia and Herzegovina,,,,,,,0.9479492116605231,,-0.7150366834391221,,-0.8452313417628115,0.8996977382528295,,0.8646955630157327,,,-0.7305970657612416,0.22713602629746552,-0.9151464343822105,,,0.6730362870468631,0.4949736332043306,,-0.2299580075382857,,,,,,-0.6593996192654177
Bahrain,,,,,,,,,-0.7238674456933925,,-0.92791822443044,-0.8614206008643528,,0.9481720307917014,,,-0.8502689400993565,0.06035597343260644,-0.9042297681143995,,,-0.81853577054171,-0.012379855040042879,,0.878239724807991,,,,,,0.9872559936668003
Cook Islands,,,,,,,0.5234098147077388,,,,,,,,,,,,,,,,,,,,,,,,-0.5920375905606262
Latvia,,,,,,-0.9600231078363293,0.425796084042982,,-0.03985034672067342,0.4079335445368094,0.2822423711980764,0.2524894151984877,-0.9195949164202204,0.8814153140093456,,,-0.9332713553741775,0.16381455737693298,0.5885779643120232,,,0.41061323181417275,0.7259622724494984,,-0.6034423421864652,,,,,,-0.9102135410730294
Dominica,,,,,,,,,,,,,,,,,0.9329930625442184,0.24054896908581155,-0.9652084661040273,,,,,,,,,,,,0.6264853957687866
Netherlands,,,,,0.5465291776154894,-0.7802639176579583,0.7455352704830047,,-0.8389680376083439,-0.9175800867250685,-0.9224020774267768,-0.5280265892433794,-0.807466905973882,0.9530224963645846,,,-0.9404572400768405,-0.5704568143721117,-0.9495380424735029,,,-0.5843061149448233,-0.5859155175225148,,-0.927734217889042,,,0.782794018989295,-0.17406625691365643,0.8347761921428881,0.9363430196228832
Panama,,,,,,-0.6305396629457602,0.9499926756843659,,0.26902702345704377,,-0.9130119670667024,0.886616434398228,0.11542125211258501,0.9245707033428424,,,-0.9392973084821313,-0.8847707214327917,-0.8272072857748691,,-0.9249308415110846,0.362899582335661,-0.815222656277937,,0.7267481771440277,,,,0.1759272621068219,0.7772468967581363,0.9370295127729072
Nicaragua,,,,,,-0.641737215450717,0.9853092801216923,,-0.7608506584116413,,-0.877154512289296,-0.6524168884825304,-0.8075965427293779,0.9055421332398244,,,-0.891968781223335,-0.7637961203442339,-0.9597623527630463,,,-0.6099209731389085,-0.9259814079001585,,-0.8156010972093719,,,,,,0.9551229551017553
Tonga,,,,,,,,,,,-0.8900071814892238,0.7773108179708678,,0.9138552129929718,,,-0.8759767138281399,-0.07680907420021965,-0.720693328295962,,,,,,-0.2137654563969367,,,,,,0.8343466091875985
Syrian Arab Republic,,,,0.1494407859701725,,,,,,,-0.26759023837188606,0.00216321245317897,,0.15584492760122837,,,-0.575759935490478,-0.10464326237691747,-0.6962287770028218,,,,,,,,,,,,
Costa Rica,,,,-0.4444448302060715,,-0.8094130375608419,0.9461346277012234,,-0.6822376868915324,-0.8650878880435598,-0.8322942742664452,0.9891184735928701,0.8905664279222677,0.9491545248468962,,,-0.9270347027165686,-0.8700571731182054,-0.9604077250180633,,0.36059108803420337,-0.31704109049047713,-0.7270984301986083,,-0.9267968032111741,,,0.8920907450612336,-0.9562197196177756,0.6453624567679724,0.9271127373607247
Nepal,,,,0.9242780938209664,,,0.9818859265171862,,0.4312121824256568,,-0.8802773516366372,-0.756003008550033,,0.8743616065457864,,,-0.8522339245643433,-0.5452712625014646,-0.9179523574652427,,,0.7599905874129846,0.20480390514167546,,0.4671703827455618,,,,,,0.832870457800653
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,,,,,,,,,,,-0.8775031014714598,0.058132194587572565,0.6046469150114127,0.9541625075715936,,,,-0.32761997042528607,,,,,,,,,,,,,0.1840061730300657
Jordan,,,,-0.5073311537866557,,,0.9836952243030974,,-0.9271917570322713,,-0.9785249675491413,-0.7279591752670509,-0.22362222675087692,0.9418097589750395,,,-0.9313195516796565,-0.11766920860796193,-0.9887001859881624,,,0.6163781338916796,0.9542612997490418,,-0.9001852223101132,,,,,,0.992876484832665
Albania,,,,,,-0.9555783536286176,0.9691116287084908,,-0.9091071894338538,-0.3815402139225734,-0.8788097122606306,0.8589366345683022,-0.43035195315378416,0.9592643573773202,,,-0.961238650790801,0.5252734509982505,-0.9643095872064877,,,0.871032195281096,-0.28635641162633796,,0.9188995639663897,,,,,,-0.925255934044178
Niger,,,,-0.44598849680143654,,,0.9921375972684119,,-0.6719466783496582,,-0.9656406498751008,-0.8979696267932438,,0.9215383570480368,,,-0.8734136621183843,0.7070638609574771,-0.6434312001276836,,,0.644975377578329,0.7521541082376982,,0.8764519253277309,,,,,,0.9629829737695624
Turkmenistan,,,,,,,0.41673225805262937,,0.25168680381990155,,-0.39674387258651056,-0.8526644585256331,,0.9803180463484493,,,-0.9080964308758722,-0.17545254541872732,-0.973274512032446,,,0.2750793584199632,-0.30685048330512144,,0.21403554240669195,,,,,,0.9470673083829428
Mongolia,,,,,,-0.9135987457869571,0.9433899766937491,,-0.5174944392274622,,0.25077524135194446,-0.7621520026332886,,0.9290019495575627,,,-0.8491282395735689,0.8309700327219287,-0.9281515672442628,,,-0.48406358412804185,-0.7992880028678675,,0.8955631283876051,,,,,,0.9497395314024015
Honduras,,,,,,,0.9110293513409977,,-0.7304854353117527,,-0.9726357055870978,-0.8517609811276579,0.5470820057847061,0.9476340358869815,,,-0.9259917130211972,-0.9878142462888037,-0.9873846552567921,,-0.650104296556722,0.3432945175876515,-0.48991015232143326,,-0.1911208721056515,,,,,,0.9770854875912341
Republic of Korea,,,,,,-0.9134754482198475,0.8839602137020852,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,,,,,,,,,-0.8701531268847525,,-0.9080905915273658,-0.9564623782853406,,0.9346997091575351,,,-0.9038852794355,0.8732496623903271,-0.8062247193246143,,,-0.4392955607856854,-0.425113460198996,,0.20108827850195335,,,,,,0.9006959289662738
Bahamas,,,,,,,,,-0.6197139926650316,,,,,,,,,,,,,,,,0.07809678322623921,,,,,,0.9454282872671075
Republic of Moldova,,,,-0.5685733342572756,,-0.8875439886905409,0.8854234544820158,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,,,,,,-0.3485925167011095,0.9139290680800687,,-0.4926832085660929,,-0.9497985873496984,-0.397811290391834,-0.7070034364455612,0.9751962514750924,,,-0.9618101468880941,-0.8265302764425306,-0.9917968383362447,,-0.9580505910922094,0.546173996753518,0.6440250020975135,,-0.885102792207349,,,,,,0.9715646210658514
