AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population
7.54706,,,145712.175328,,1.06025943732847,43.182,9.454,,58.776,1.63008700176371,60.5,3.49744741099259,37.269,0.458,0.476,3.62,37.663,,,,26941773.0
9.12254,,,116193.647513,,1.02283375830473,42.52,9.052,,59.398,1.55852896314613,57.7,3.43886936840162,36.554,0.458,0.476,4.56,37.256,,,,27884380.0
9.83116,,,101123.83001,,0.987436182716879,41.882,8.716,,59.925,1.50120542649021,55.5,3.37826943218091,35.851,0.464,0.476,5.43,37.355,,,,28842482.0
10.017,,,122123.858628,,0.953609972054338,41.281,8.432,,60.379,1.45125099871175,53.5,3.32215836256296,35.161,0.539,0.506,5.43,37.564,,,,29816769.0
8.60774,,,101353.211652,,0.920849375723152,40.729,8.19,,60.782,1.45125099871175,51.7,3.2761445879162,34.486,0.56,0.66,5.43,37.564,,,,30809787.0
9.4853,,,89417.18912,,0.920849375723152,40.232,7.981,,61.147,1.45125099871175,49.9,3.24291402840967,33.823,0.561,0.654,5.43,37.564,,,,31825299.0
9.42977,,,62306.915569,,0.920849375723152,39.791,7.798,,61.487,1.45125099871175,48.3,3.21853035205175,33.175,0.571,0.639,5.43,37.564,,,,32866267.0
1.61278,0.384769,,783.837037,15973.0,,19.84,6.216,,73.94,0.099308153982053,12.6,1.76934686581224,67.873,,,11.86,,,,,76007.0
1.61278,0.342373,,773.766667,16534.0,,19.635,6.124,,74.171,0.0995149802975,12.3,1.57294440575692,68.26,,,12.12,,,,,77212.0
1.73138,0.298467,,802.52963,15896.0,,19.339,6.051,,74.395,0.0951662299236648,11.9,1.39671745207427,68.902,,,10.65,,,,,78298.0
1.74801,0.216797,,839.996296,17443.0,,18.977,5.999,,74.613,0.0970533197653173,11.5,1.28547728798399,69.536,,,12.45,,,,,79311.0
1.60917,0.272001,,898.355556,17653.0,,18.566,5.967,,74.821,0.0896482920620249,11.0,1.29779220681331,70.163,,,12.13,,,,,80347.0
1.75667,0.189686,,1014.981481,17975.0,,18.137,5.955,,75.019,0.0851731764287246,10.6,1.37818990118547,70.782,,,11.53,,,,,81462.0
1.65247,0.170004,,1149.025926,18097.0,,17.72,5.96,,75.204,0.0960604173703046,10.1,1.52643102127801,71.394,,,8.37,,,,,82715.0
1.60578,0.166035,,1302.388889,18263.0,,17.341,5.976,,75.376,0.0985649652209231,9.6,1.57610132986139,71.998,,,8.45,,,,,84029.0
1.54737,0.15107,,1370.07037,22463.0,,17.014,5.999,,75.535,0.0991712927948866,9.2,1.61138633575081,72.595,,,8.08,,,,,85394.0
1.49146,0.149668,,1228.32963,21633.0,,16.749,6.026,,75.683,0.088538396729918,8.7,1.56738832134701,73.182,,,6.33,,,,,86743.0
1.63315,0.114015,,1148.7,13353.0,,16.547,6.055,,75.823,0.0867488441024099,8.3,1.47279415442432,73.762,,,13.9,,,,,88030.0
1.93295,0.103761,,1137.637037,14437.0,,16.396,6.085,,75.956,0.0844955856974399,7.9,1.37637551869337,74.297,,,12.99,,,,,89250.0
1.89925,0.102111,,1199.948148,14281.0,,16.272,6.116,,76.087,0.0865496427765522,7.5,1.28802773688723,74.474,,,14.63,,,,,90407.0
2.01786,0.089699,,1181.448148,14118.0,,16.152,6.151,,76.218,0.0847560687845126,7.1,1.2126557898666,74.65,,,13.3,,,,,91510.0
1.65556,0.032736,,1249.733333,14612.0,,16.026,6.188,,76.349,0.0820725207824337,6.8,1.14304343305706,74.825,,,15.11,,,,,92562.0
1.61219,0.031542,,1336.692593,14706.0,,15.883,6.227,,76.483,0.0845745358364229,6.5,1.08418161589205,75.0,,,11.82,,,,,93571.0
1.5676,0.030992,,1436.585185,29418.0,,15.717,6.27,,76.617,0.083550562080159,6.2,1.00909459019292,75.154,,,11.61,,,,,94520.0
1.79362,0.012025,,1467.977778,33689.0,,15.53,6.316,,76.752,0.0827386431396182,6.0,0.952914631258636,75.287,,,11.61,,,,,95425.0
1.73669,0.008356,,1605.944444,32849.0,,15.327,6.366,,76.885,0.0827386431396182,5.8,0.894078681398432,75.401,,,12.68,,,,,96282.0
1.75997,0.021173,,1687.533333,33427.0,,15.107,6.422,,77.016,0.0827386431396182,5.6,0.861445783881833,75.494,,,11.3,,,,,97115.0
2.13631,0.021173,,1370.351852,32205.0,,14.876,6.484,,77.146,0.0827386431396182,5.4,0.833667148911523,75.567,,,11.3,,,,,97928.0
3.96074,1.926413,,308148.233467,20204510.0,0.627072542179057,19.499,7.845,8.3942211703,73.576,0.177867198555016,17.5,1.10060813455916,10.858,0.832,0.953,17.82,22.768,16.2261505126953,,,36870796.0
3.96074,1.784372,,291334.718272,19878164.0,0.613426049279488,19.328,7.83,8.3942211703,73.755,0.178208295212495,16.9,1.09203361158056,10.671,0.842,0.953,17.37,22.01,16.3559608459473,,,37275644.0
8.84866,0.552721,,110583.590317,16575966.0,0.609241525034584,19.175,7.815,9.4740840412,73.932,0.17072937811621,16.4,1.08355691032176,10.49,0.842,0.94,18.46,20.281,16.4422092437744,,,37681743.0
8.95402,0.595562,,140444.139675,21006685.0,0.604261349983462,19.026,7.802,7.7898824786,74.107,0.169379455775768,15.8,1.07200471174976,10.314,0.854,0.902,17.13,21.774,14.3547201156616,,,38087866.0
8.35656,0.782324,,165947.750429,21752144.0,0.587046947237889,18.879,7.788,6.0739941344,74.28,0.1577696714638,15.3,1.05538943935448,10.14,0.88,0.915,16.26,23.17,15.1393003463745,,,38491970.0
7.93875,1.07785,,200622.205937,23961040.0,0.582149415496304,18.735,7.775,5.6514136093,74.451,0.150518521819536,14.8,1.03626836534216,9.96899999999999,0.88,0.915,16.02,23.518,15.8031702041626,,,38892924.0
6.93557,1.306762,,234391.234167,23964600.0,0.600027971397396,18.596,7.762,5.3728853713,74.62,0.145880561018034,14.4,1.01545457815013,9.8,0.88,0.912,15.1,23.755,15.5098400115967,,,39289876.0
7.45235,1.337822,,289755.142707,32156766.0,0.599266139805318,18.469,7.749,5.3900404903,74.787,0.142463437896611,14.0,0.998884153148277,9.634,0.878,0.913,14.4,24.322,15.1015701293945,,,39684303.0
7.31896,1.396887,,365644.37665,38083320.0,0.598464998802511,18.355,7.735,5.9156451949,74.952,0.133923813824042,13.7,0.992570475708135,9.47,0.873,0.912,14.66,24.121,15.7478399276733,,,40080159.0
5.27362,1.957345,,336359.389616,26742136.0,0.57241951756347,18.252,7.722,6.5262306799,75.116,0.138703629005199,13.3,0.999542288700286,9.309,0.873,0.906,16.42,23.27,16.0206699371338,,,40482786.0
7.13217,1.431524,,426487.434874,40122899.0,0.572606178000288,18.154,7.708,5.8294564636,75.278,0.125610915637969,12.9,1.0763007843820729,9.151,0.873,0.901,16.69,23.34,15.0479698181152,,,40895751.0
6.99873,1.52893,,530158.176682,50015364.0,0.56232376862007,18.055,7.694,6.0768872165,75.439,0.119321261920035,12.4,1.15305928006386,9.01000000000001,0.875,0.901,16.28,23.944,15.1585597991943,,,41320497.0
5.78174,1.73694,,581430.904393,49334647.0,0.555884445713955,17.949,7.68,6.341726925,75.598,0.114201724251702,11.9,1.13690569378967,8.879,0.881,0.898,16.66,24.046,14.5182600021362,,,41755188.0
6.05292,1.632248,,613316.027357,51394670.0,0.558069023075481,17.831,7.665,7.2803050637,75.756,0.108466163908373,11.3,1.11910919999772,8.751,0.882,0.903,16.54,23.947,14.4579296112061,,,42196034.0
6.7127,1.383496,,567050.145343,49528136.0,0.555809596519585,17.698,7.651,7.5707989313,75.913,0.102548973963198,10.8,1.09946109101836,8.623,0.882,0.912,16.29,24.699,13.7993297576904,,,42637508.0
5.15669,1.729312,,644903.200499,60356793.0,0.544646302455908,17.548,7.638,6.5861232774,76.068,0.0994964441798539,10.2,1.07800134449604,8.497,0.868,0.891,16.5,24.668,13.9633102416992,,,43075416.0
6.26457,1.406299,,557532.317366,53899226.0,0.535384498219827,17.383,7.626,6.0333095226,76.221,0.0955825870424317,9.7,1.05718157762752,8.373,0.859,0.854,13.47,24.763,13.3555402755737,,,43508459.0
5.47838,1.760318,,643628.396191,51212530.0,0.524093161602479,17.205,7.616,5.2097151606,76.372,0.0919574330196077,9.2,1.03713389686514,8.251,0.851,0.836,16.05,24.845,13.2639198303223,,,43937143.0
6.09713,1.709182,,517626.853947,41876065.0,0.51188021925017,17.021,7.609,5.3244787387,76.52,0.0919574330196077,8.6,1.01580834908002,8.13,0.86,0.852,15.03,24.845,13.2639198303223,,,44361150.0
7.20078,1.529369,,445445.254556,38179048.0,0.51188021925017,16.833,7.604,5.3244787387,76.667,0.0919574330196077,8.1,0.993397493293046,8.009,0.825,0.852,15.47,24.845,13.2639198303223,,,44780675.0
6.83608,1.529369,,383067.158673,33421311.0,0.51188021925017,16.644,7.602,5.3244787387,76.813,0.0919574330196077,7.6,0.970053991438048,7.889,0.851,0.91,15.47,24.845,13.2639198303223,,,45195777.0
24.005,0.743104,,2038.534803,340739.0,3.50464386024508,12.91,8.575,2.9645585398,71.409,0.0679283356137696,27.0,-0.630760587863762,35.334,0.7,0.638,3.87,18.526,,,,3069597.0
24.005,0.664749,,2259.108208,394256.0,3.5570820676739,12.98,8.612,2.8845971037,71.8,0.0666157530085154,25.7,-0.617979926225355,35.615,0.727,0.638,5.66,17.238,,,,3050686.0
21.9974,0.592735,,2534.163311,406686.0,3.76867602113764,13.208,8.697,2.274243435,72.112,0.0622471603525368,24.5,-0.549251281615873,35.764,0.727,0.608,5.33,16.962,,,,3033976.0
20.1811,0.622087,,2993.550393,468618.0,3.76559190397741,13.524,8.824,2.5182757234,72.348,0.0607803920301727,23.3,-0.53001538172706,35.863,0.743,0.602,5.38,17.869,,,,3017938.0
21.2053,0.310051,,3814.176694,613962.0,4.0383228597919,13.884,8.986,2.7660074349,72.513,0.0602588976700955,22.2,-0.572322312384323,35.962,0.732,0.602,6.28,17.535,,,,3000715.0
17.887,0.352819,,5225.97185,725151.0,4.02293235644494,14.244,9.168,1.9454848316,72.626,0.0601742660985802,21.1,-0.650389280091987,36.062,0.758,0.602,7.44,18.318,,,,2981262.0
17.5308,0.355046,,6808.524718,967265.0,3.85059684251059,14.572,9.346,2.6704517221,72.716,0.0631619278103366,20.0,-0.773158374746929,36.161,0.758,0.602,7.93,18.797,,,,2958301.0
