,Code,Year,Deaths,Fertility,GDP ,GenderInequality,LifeExpectancy,tertiary_education
176,FJI,2010,448.0,2.7465,2032471424.0,0.401,,7.03
177,FRA,1990,,1.7817,718219902976.0,0.229,76.8,5.81
178,FRA,1995,4756.0,1.7085,1020137177088.0,0.197,77.9,7.2
179,FRA,2000,4039.0,1.8762,904443330560.0,0.195,79.0,8.44
180,FRA,2005,3603.0,1.9159,1212018851840.0,0.157,80.3,8.71
181,FRA,2010,3352.0,2.0176,,0.129,81.4,10.6
182,GAB,1990,3176.0,5.4587,3352195072.0,0.643,60.3,4.1
183,GAB,1995,3300.0,4.8843,3142262016.0,0.639,60.7,5.06
184,GAB,2000,3317.0,4.4692,3349509120.0,0.625,61.1,5.54
185,GAB,2005,3232.0,4.2097,5202367488.0,0.605,62.0,5.73
186,GAB,2010,3189.0,4.1532,,0.576,63.9,6.3
187,GBR,1990,,1.8287,615647870976.0,0.255,75.7,9.0
188,GBR,1995,5412.0,1.7102,784203382784.0,0.235,76.6,11.1
189,GBR,2000,4612.0,1.6413,1027616145408.0,0.21,77.9,12.83
190,GBR,2005,4295.0,1.759,1330413174784.0,0.202,79.1,13.77
191,GBR,2010,4081.0,1.9168,1555497484288.0,0.179,80.4,15.31
192,GHA,1990,72685.0,5.7119,3316647936.0,0.646,55.6,1.14
193,GHA,1995,71055.0,5.067,4096750848.0,0.625,56.6,1.39
194,GHA,2000,66852.0,4.8545,3293435392.0,0.604,58.2,1.84
195,GHA,2005,59481.0,4.538,5902376960.0,0.573,59.8,1.66
196,GHA,2010,53884.0,4.2064,,0.573,61.2,1.44
197,GMB,1990,6831.0,6.2178,178574048.0,0.777,51.3,0.77
198,GMB,1995,6697.0,6.0081,498061152.0,0.77,55.5,1.01
199,GMB,2000,6125.0,5.8013,517453056.0,0.753,56.9,1.02
200,GMB,2005,5596.0,5.7191,343294848.0,0.653,58.4,0.94
201,GMB,2010,5177.0,5.6686,616392064.0,0.659,60.7,0.91
