,Unnamed,Code,Year,Deaths,Fertility,GDP ,GenderInequality,LifeExpectancy,tertiary_education
19952,8977,IMN,1974,,0.5483614840479284,,,0.2383419689119171,
19953,8978,IMN,1975,,0.3536162841056734,,,0.284974093264249,
19954,8979,IMN,1976,,0.31824743756315865,,,0.3005181347150261,
19955,8980,IMN,1977,,0.28800346470333477,,,0.30569948186528484,
19956,8981,IMN,1978,,0.2703912227515519,,,0.3160621761658031,
19957,8982,IMN,1979,,0.2631730908040999,,,0.3367875647668397,
19958,8983,IMN,1980,,0.249458640103941,,,0.3575129533678755,
19959,8984,IMN,1981,,0.24613829940811313,,,0.3989637305699479,
19960,8985,IMN,1982,,0.23278475530532697,,,0.3989637305699479,
19961,8986,IMN,1983,,0.22614407391367106,,,0.43005181347150273,
19962,8987,IMN,1984,,0.22058611231413314,,,0.440414507772021,
19963,8988,IMN,1985,,0.22138010682835277,,,0.41968911917098445,
19964,8989,IMN,1986,,0.22614407391367106,,,0.4611398963730568,
19965,8990,IMN,1987,,0.23401183773639384,,,0.48186528497409337,
19966,8991,IMN,1988,,0.23855926086328855,,,0.5077720207253887,
19967,8992,IMN,1989,,0.24844810163129782,,,0.49222797927461165,
19968,8993,IMN,1990,,0.25978056878879735,,,0.5492227979274611,
19969,8994,IMN,1991,,0.25992493142774653,,,0.5595854922279794,
19970,8995,IMN,1992,,0.18897069438429334,,,0.6062176165803105,
19971,8996,IMN,1993,,0.1862999855637361,,,0.5647668393782381,
19972,8997,IMN,1994,,0.24195178287859095,,,0.6165803108808288,
19973,8998,IMN,1995,,0.1862999855637361,,,0.6165803108808288,
19974,8999,IMN,1996,,0.11029305615706657,,,0.6424870466321241,
19975,9000,IMN,1997,,0.17893749097733505,,,0.6373056994818653,
19976,9001,IMN,1998,,0.24202396419806546,,,0.6839378238341965,
19977,9002,IMN,1999,,0.1686877436119532,,,0.6373056994818653,
19978,9003,IMN,2000,,0.09347480871950334,,,0.6891191709844561,
19979,9004,IMN,2001,,0.1542514797170492,,,0.7305699481865284,
19980,9005,IMN,2002,,0.2080265627255666,,,0.7253886010362697,
19981,9006,IMN,2003,,0.1463115345748519,,,0.7616580310880825,
19982,9007,IMN,2004,,0.14263028728165147,,,0.8082901554404144,
19983,9008,IMN,2005,,0.2070160242529233,,,0.8393782383419685,
19984,9009,IMN,2006,,0.23805399162696697,,,0.8704663212435233,
19985,9010,IMN,2007,,0.2704634040710264,,,0.8756476683937822,
19986,9011,IMN,2008,,0.3622058611231411,,,0.8808290155440416,
19987,9012,IMN,2009,,0.45120542803522423,,,0.8963730569948187,
19988,9013,IMN,2010,,0.4370578894182186,,,0.9119170984455958,
19989,9014,IMN,2011,,0.2828785910206438,,,0.922279792746114,
19990,9015,IMN,2012,,0.2310524036379385,,,0.9274611398963728,
19991,9016,IMN,2013,,0.20838746932293917,,,0.9378238341968911,
19992,9017,IMN,2014,,0.12451277609354705,,,0.9637305699481864,
19993,9018,IMN,2015,,0.10610653962754439,,,0.9067357512953369,
19994,9019,IMN,2016,,0.09138155045474233,,,0.9792746113989634,
19995,9020,IMN,2017,,0.08098744045041148,,,0.9896373056994817,
19996,9021,IMN,2018,,0.040565901544680254,,,0.9948186528497405,
19997,9022,IMN,2019,,0.035946297098311,,,1.0,
19998,9023,IMN,2020,,0.002959434098455314,,,0.9948186528497405,
19999,9024,IMN,2021,,0.0,,,0.9896373056994817,
20000,9901,JEY,1950,,0.6306845003933909,,,0.103174603174603,
20001,9902,JEY,1951,,0.561369000786782,,,0.0634920634920633,
20002,9903,JEY,1952,,0.5130605822187254,,,0.1984126984126985,
20003,9904,JEY,1953,,0.46671911880409117,,,0.0793650793650794,
20004,9905,JEY,1954,,0.45719905586152626,,,0.103174603174603,
20005,9906,JEY,1955,,0.4294256490952005,,,0.15079365079365017,
20006,9907,JEY,1956,,0.4554681353265145,,,0.1269841269841266,
20007,9908,JEY,1957,,0.5033831628638866,,,0.1269841269841266,
20008,9909,JEY,1958,,0.580251770259638,,,0.11111111111111048,
20009,9910,JEY,1959,,0.6542879622344611,,,0.2301587301587296,
20010,9911,JEY,1960,,0.7475216365066873,,,0.1269841269841266,
20011,9912,JEY,1961,,0.8503540519276158,,,0.0,
20012,9913,JEY,1962,,0.9391817466561762,,,0.309523809523809,
20013,9914,JEY,1963,,1.0,,,0.0396825396825397,
