,Entity,Code,Year,Deaths,LifeExpectancy,GenderInequality,GDP ,Fertility,tertiary_education
186,Finland,FIN,2000,249,77.7,0.084,82973204480.0,1.7281,10.88
187,Finland,FIN,2005,217,79.0,0.083,112439394304.0,1.7976,11.7
188,Finland,FIN,2010,180,80.0,0.07,160380387328.0,1.8638,12.35
189,France,FRA,1990,6770,76.8,0.229,718219902976.0,1.7817,5.81
190,France,FRA,1995,4756,77.9,0.197,1020137177088.0,1.7085,7.2
191,France,FRA,2000,4039,79.0,0.195,904443330560.0,1.8762,8.44
192,France,FRA,2005,3603,80.3,0.157,1212018851840.0,1.9159,8.71
193,France,FRA,2010,3352,81.4,0.129,1713079320576.0,2.0176,10.6
194,Gabon,GAB,1990,3176,60.3,0.643,3352195072.0,5.4587,4.1
195,Gabon,GAB,1995,3300,60.7,0.639,3142262016.0,4.8843,5.06
196,Gabon,GAB,2000,3317,61.1,0.625,3349509120.0,4.4692,5.54
197,Gabon,GAB,2005,3232,62.0,0.605,5202367488.0,4.2097,5.73
198,Gabon,GAB,2010,3189,63.9,0.576,9292574720.0,4.1532,6.3
199,Gambia,GMB,1990,6831,51.3,0.777,178574048.0,6.2178,0.77
200,Gambia,GMB,1995,6697,55.5,0.77,498061152.0,6.0081,1.01
201,Gambia,GMB,2000,6125,56.9,0.753,517453056.0,5.8013,1.02
202,Gambia,GMB,2005,5596,58.4,0.653,343294848.0,5.7191,0.94
203,Gambia,GMB,2010,5177,60.7,0.659,616392064.0,5.6686,0.91
204,Germany,DEU,1995,5103,76.6,0.14,1642226778112.0,1.2495,9.32
205,Germany,DEU,2000,4053,78.1,0.133,1288784969728.0,1.38,10.48
206,Germany,DEU,2005,3314,79.3,0.108,1573769838592.0,1.3408,10.89
207,Germany,DEU,2010,2822,80.1,0.096,2211603546112.0,1.3921,13.14
208,Ghana,GHA,1990,72685,55.6,0.646,3316647936.0,5.7119,1.14
209,Ghana,GHA,1995,71055,56.6,0.625,4096750848.0,5.067,1.39
